1~Company Standard~55~4~5~5~4~4~1~5~1~9~Bolt pistol, Frag grenades~Power armour (3+ save)~1~~armour, assault, special, grenades~0~Any space marine units belonging to the same chapter as the standard bearer who are within 12" of him may re-roll the dice if they fail a break test~
0~Chaplain Champion~53~4~5~5~4~4~1~5~1~9~Bolt pistol, Frag grenades~Power armour (3+ save)~2~Crozuis Arcanum, Rosarius~armour, assault, special, grenades~0~If any space marine unit with 8" of a chaplain fails any Ld-based tests then it may retake the test immediately~
0~Chaplain Hero~84~4~6~6~5~5~2~6~2~9~Bolt pistol, Frag grenades~Power armour (3+ save)~2~Crozuis Arcanum, Rosarius~armour, assault, special, grenades~0~If any space marine unit with 8" of a chaplain fails any Ld-based tests then it may retake the test immediately~
0~Chaplain Mighty Hero~125~4~7~7~5~5~3~7~3~10~Bolt pistol, Frag grenades~Power armour (3+ save)~2~Crozuis Arcanum, Rosarius~armour, assault, special, grenades~0~If any space marine unit with 8" of a chaplain fails any Ld-based tests then it may retake the test immediately~
0~Lexicanium Librarian~53~4~4~4~4~5~1~5~1~8~Bolt pistol, Frag grenades~Power armour (3+ save)~1~~armour, assault, special, grenades~0~Psychic level:1~
0~Codicer Librarian~97~4~5~5~5~5~2~5~1~8~Bolt pistol, Frag grenades~Power armour (3+ save)~2~~armour, assault, special, grenades~0~Psychic level:2~
0~Epistolary Librarian~152~4~6~6~5~5~3~6~2~8~Bolt pistol, Frag grenades~Power armour (3+ save)~3~~armour, assault, special, grenades~0~Psychic level:3~
0~Chief Librarian~196~4~7~7~5~5~4~7~3~9~Bolt pistol, Frag grenades~Power armour (3+ save)~3~~armour, assault, special, grenades~0~Psychic level:4~
0~Apothecary~40~4~5~5~4~4~1~5~1~9~Bolt pistol, Frag grenades~Power armour (3+ save)~1~Medi-pack~armour, assault, special, grenades~0~~
0~Techmarine~33~4~5~5~4~4~1~5~1~9~Bolt pistol, Frag grenades~Power armour (3+ save)~3~~armour, assault, special, grenades~0~The army may have a maximum of 3 seritor models operating support weapons per techmarine that is in the army~
0~Veteran Sergeant~5~4~5~5~4~4~1~5~1~9~Bolt pistol, Frag grenades~Power armour (3+ save)~1~~armour, assault, special, grenades~0~Must be added to a squad~
